date,annee,mois,type_bien,surface,prix,prix_m2,pieces,code_postal,quartier
2023-02-10,2023,2,Appartement,77.0,171200.0,2223.38,3,83200,Est (La Valette / La Garde)
2023-02-09,2023,2,Maison,99.0,425000.0,4292.93,5,83200,Est (La Valette / La Garde)
2023-01-26,2023,1,Appartement,58.0,100000.0,1724.14,3,83000,Centre-ville
2023-02-16,2023,2,Appartement,31.0,67000.0,2161.29,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-15,2023,2,Appartement,68.0,125000.0,1838.24,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-01-18,2023,1,Appartement,42.0,100000.0,2380.95,1,83000,Centre-ville
2023-02-17,2023,2,Appartement,62.0,118500.0,1911.29,4,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-20,2023,2,Appartement,57.0,165000.0,2894.74,3,83200,Est (La Valette / La Garde)
2023-02-06,2023,2,Appartement,53.0,102900.0,1941.51,3,83000,Centre-ville
2023-02-14,2023,2,Appartement,43.0,80700.0,1876.74,2,83200,Est (La Valette / La Garde)
2023-02-14,2023,2,Appartement,74.0,140000.0,1891.89,4,83200,Est (La Valette / La Garde)
2023-02-20,2023,2,Appartement,17.0,67000.0,3941.18,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-09,2023,2,Appartement,54.0,290000.0,5370.37,3,83200,Est (La Valette / La Garde)
2023-02-09,2023,2,Appartement,42.0,290000.0,6904.76,3,83200,Est (La Valette / La Garde)
2023-02-09,2023,2,Maison,26.0,290000.0,11153.85,1,83200,Est (La Valette / La Garde)
2023-01-30,2023,1,Appartement,65.0,350500.0,5392.31,3,83000,Centre-ville
2023-01-30,2023,1,Appartement,25.0,350500.0,14020.0,1,83000,Centre-ville
2023-02-16,2023,2,Maison,45.0,365000.0,8111.11,3,83000,Centre-ville
2023-02-07,2023,2,Maison,80.0,440000.0,5500.0,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-17,2023,2,Appartement,75.0,280000.0,3733.33,4,83200,Est (La Valette / La Garde)
2023-02-21,2023,2,Appartement,70.0,270000.0,3857.14,4,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-15,2023,2,Appartement,50.0,175000.0,3500.0,3,83200,Est (La Valette / La Garde)
2023-02-15,2023,2,Appartement,72.0,153900.0,2137.5,2,83000,Centre-ville
2023-02-07,2023,2,Appartement,91.0,184000.0,2021.98,4,83200,Est (La Valette / La Garde)
2023-02-23,2023,2,Appartement,40.0,102000.0,2550.0,2,83000,Centre-ville
2023-02-16,2023,2,Appartement,37.0,126600.0,3421.62,2,83200,Est (La Valette / La Garde)
2023-02-17,2023,2,Maison,80.0,354400.0,4430.0,4,83200,Est (La Valette / La Garde)
2023-02-21,2023,2,Appartement,19.0,78000.0,4105.26,1,83000,Centre-ville
2023-02-14,2023,2,Appartement,72.0,160000.0,2222.22,3,83000,Centre-ville
2023-01-30,2023,1,Maison,64.0,200000.0,3125.0,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-23,2023,2,Appartement,68.0,182000.0,2676.47,3,83000,Centre-ville
2023-02-17,2023,2,Appartement,78.0,88000.0,1128.21,5,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-20,2023,2,Appartement,83.0,155000.0,1867.47,4,83200,Est (La Valette / La Garde)
2023-02-23,2023,2,Appartement,84.0,185000.0,2202.38,3,83000,Centre-ville
2023-02-14,2023,2,Appartement,29.0,187700.0,6472.41,1,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-07,2023,2,Appartement,55.0,107000.0,1945.45,3,83000,Centre-ville
2023-02-24,2023,2,Appartement,64.0,214000.0,3343.75,4,83000,Centre-ville
2023-02-01,2023,2,Appartement,60.0,146200.0,2436.67,3,83000,Centre-ville
2023-02-24,2023,2,Appartement,32.0,96000.0,3000.0,1,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-21,2023,2,Appartement,73.0,193000.0,2643.84,4,83200,Est (La Valette / La Garde)
2023-02-14,2023,2,Appartement,62.0,130000.0,2096.77,3,83200,Est (La Valette / La Garde)
2023-02-13,2023,2,Appartement,67.0,167522.0,2500.33,4,83200,Est (La Valette / La Garde)
2023-02-24,2023,2,Appartement,26.0,82000.0,3153.85,1,83200,Est (La Valette / La Garde)
2023-02-24,2023,2,Appartement,36.0,151750.0,4215.28,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-16,2023,2,Appartement,20.0,85000.0,4250.0,1,83000,Centre-ville
2023-02-03,2023,2,Appartement,95.0,295000.0,3105.26,5,83000,Centre-ville
2023-02-28,2023,2,Appartement,64.0,151000.0,2359.38,4,83200,Est (La Valette / La Garde)
2023-02-24,2023,2,Appartement,65.0,202000.0,3107.69,4,83200,Est (La Valette / La Garde)
2023-02-21,2023,2,Appartement,67.0,280000.0,4179.1,3,83000,Centre-ville
2023-02-27,2023,2,Appartement,70.0,114000.0,1628.57,4,83200,Est (La Valette / La Garde)
2023-02-21,2023,2,Appartement,110.0,450000.0,4090.91,4,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-02,2023,2,Appartement,46.0,110500.0,2402.17,2,83000,Centre-ville
2023-02-09,2023,2,Appartement,28.0,54000.0,1928.57,1,83000,Centre-ville
2023-02-09,2023,2,Appartement,43.0,95000.0,2209.3,3,83200,Est (La Valette / La Garde)
2023-02-21,2023,2,Maison,79.0,310000.0,3924.05,4,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-16,2023,2,Maison,75.0,294000.0,3920.0,4,83200,Est (La Valette / La Garde)
2023-02-27,2023,2,Appartement,131.0,365000.0,2786.26,4,83200,Est (La Valette / La Garde)
2023-02-24,2023,2,Appartement,32.0,89000.0,2781.25,1,83000,Centre-ville
2023-02-27,2023,2,Appartement,79.0,150000.0,1898.73,4,83200,Est (La Valette / La Garde)
2023-02-23,2023,2,Appartement,53.0,104720.0,1975.85,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-23,2023,2,Appartement,47.0,153900.0,3274.47,2,83200,Est (La Valette / La Garde)
2023-02-14,2023,2,Appartement,69.0,270000.0,3913.04,3,83000,Centre-ville
2023-02-07,2023,2,Appartement,60.0,208000.0,3466.67,2,83000,Centre-ville
2023-02-28,2023,2,Appartement,31.0,108000.0,3483.87,1,83000,Centre-ville
2023-03-02,2023,3,Appartement,86.0,180000.0,2093.02,2,83000,Centre-ville
2023-02-20,2023,2,Appartement,65.0,135000.0,2076.92,4,83200,Est (La Valette / La Garde)
2023-02-09,2023,2,Appartement,68.0,155000.0,2279.41,4,83000,Centre-ville
2023-02-09,2023,2,Appartement,62.0,115000.0,1854.84,4,83200,Est (La Valette / La Garde)
2023-02-24,2023,2,Appartement,80.0,220000.0,2750.0,4,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-06,2023,2,Appartement,98.0,435000.0,4438.78,5,83000,Centre-ville
2023-02-02,2023,2,Appartement,69.0,159300.0,2308.7,4,83200,Est (La Valette / La Garde)
2023-02-21,2023,2,Appartement,67.0,136000.0,2029.85,3,83000,Centre-ville
2023-02-17,2023,2,Appartement,32.0,60000.0,1875.0,2,83000,Centre-ville
2023-03-03,2023,3,Appartement,56.0,162000.0,2892.86,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-17,2023,2,Appartement,80.0,230000.0,2875.0,3,83200,Est (La Valette / La Garde)
2023-02-17,2023,2,Appartement,85.0,230000.0,2705.88,4,83200,Est (La Valette / La Garde)
2023-02-20,2023,2,Appartement,69.0,165200.0,2394.2,3,83200,Est (La Valette / La Garde)
2023-02-20,2023,2,Appartement,61.0,260000.0,4262.3,3,83000,Centre-ville
2023-02-22,2023,2,Appartement,71.0,370000.0,5211.27,3,83200,Est (La Valette / La Garde)
2023-02-22,2023,2,Appartement,51.0,370000.0,7254.9,3,83200,Est (La Valette / La Garde)
2023-02-16,2023,2,Appartement,34.0,235000.0,6911.76,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-16,2023,2,Appartement,40.0,235000.0,5875.0,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-16,2023,2,Appartement,40.0,235000.0,5875.0,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-24,2023,2,Maison,45.0,280000.0,6222.22,2,83000,Centre-ville
2023-02-10,2023,2,Maison,60.0,122000.0,2033.33,3,83200,Est (La Valette / La Garde)
2023-02-23,2023,2,Appartement,60.0,268000.0,4466.67,3,83000,Centre-ville
2023-02-09,2023,2,Appartement,61.0,194500.0,3188.52,3,83200,Est (La Valette / La Garde)
2023-02-06,2023,2,Appartement,46.0,122000.0,2652.17,2,83200,Est (La Valette / La Garde)
2023-02-15,2023,2,Appartement,119.0,350000.0,2941.18,3,83000,Centre-ville
2023-02-09,2023,2,Appartement,42.0,127000.0,3023.81,2,83000,Centre-ville
2023-02-16,2023,2,Appartement,46.0,116000.0,2521.74,3,83000,Centre-ville
2023-03-01,2023,3,Appartement,26.0,107186.0,4122.54,1,83000,Centre-ville
2023-02-10,2023,2,Appartement,54.0,160000.0,2962.96,3,83000,Centre-ville
2023-02-24,2023,2,Appartement,47.0,195000.0,4148.94,3,83200,Est (La Valette / La Garde)
2023-03-02,2023,3,Appartement,26.0,129000.0,4961.54,1,83200,Est (La Valette / La Garde)
2023-03-02,2023,3,Appartement,56.0,129000.0,2303.57,3,83200,Est (La Valette / La Garde)
2023-02-20,2023,2,Appartement,41.0,128980.0,3145.85,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-03-03,2023,3,Appartement,42.0,125000.0,2976.19,2,83200,Est (La Valette / La Garde)
2023-02-28,2023,2,Appartement,44.0,116000.0,2636.36,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-03-06,2023,3,Appartement,74.0,134000.0,1810.81,3,83000,Centre-ville
2023-02-27,2023,2,Appartement,44.0,130000.0,2954.55,2,83200,Est (La Valette / La Garde)
2023-02-08,2023,2,Maison,71.0,363000.0,5112.68,4,83000,Centre-ville
2023-03-02,2023,3,Maison,95.0,317600.0,3343.16,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-27,2023,2,Appartement,26.0,98440.0,3786.15,1,83000,Centre-ville
2023-02-27,2023,2,Appartement,60.0,135000.0,2250.0,2,83000,Centre-ville
2023-02-28,2023,2,Appartement,88.0,264600.0,3006.82,4,83200,Est (La Valette / La Garde)
2023-02-23,2023,2,Appartement,67.0,121000.0,1805.97,3,83200,Est (La Valette / La Garde)
2023-03-01,2023,3,Appartement,28.0,62000.0,2214.29,1,83200,Est (La Valette / La Garde)
2023-03-02,2023,3,Appartement,93.0,420000.0,4516.13,4,83000,Centre-ville
2023-02-24,2023,2,Appartement,68.0,132000.0,1941.18,3,83000,Centre-ville
2023-03-03,2023,3,Appartement,45.0,110200.0,2448.89,2,83200,Est (La Valette / La Garde)
2023-02-28,2023,2,Appartement,57.0,100000.0,1754.39,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-16,2023,2,Appartement,50.0,143000.0,2860.0,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-28,2023,2,Appartement,65.0,122750.0,1888.46,3,83200,Est (La Valette / La Garde)
2023-02-20,2023,2,Appartement,61.0,151000.0,2475.41,3,83200,Est (La Valette / La Garde)
2023-02-23,2023,2,Appartement,49.0,160000.0,3265.31,2,83000,Centre-ville
2023-02-15,2023,2,Appartement,55.0,162000.0,2945.45,3,83000,Centre-ville
2023-03-02,2023,3,Appartement,66.0,190000.0,2878.79,4,83000,Centre-ville
2023-02-15,2023,2,Appartement,69.0,207500.0,3007.25,3,83000,Centre-ville
2023-02-27,2023,2,Appartement,70.0,205000.0,2928.57,3,83000,Centre-ville
2023-02-10,2023,2,Appartement,40.0,255000.0,6375.0,2,83200,Est (La Valette / La Garde)
2023-02-10,2023,2,Appartement,40.0,255000.0,6375.0,2,83200,Est (La Valette / La Garde)
2023-03-07,2023,3,Appartement,80.0,199900.0,2498.75,2,83000,Centre-ville
2023-02-20,2023,2,Appartement,39.0,133550.0,3424.36,2,83000,Centre-ville
2023-02-17,2023,2,Appartement,49.0,220100.0,4491.84,3,83200,Est (La Valette / La Garde)
2023-03-07,2023,3,Appartement,89.0,129000.0,1449.44,5,83200,Est (La Valette / La Garde)
2023-02-27,2023,2,Appartement,77.0,188000.0,2441.56,3,83200,Est (La Valette / La Garde)
2023-02-24,2023,2,Appartement,45.0,117750.0,2616.67,3,83000,Centre-ville
2023-02-28,2023,2,Appartement,54.0,140000.0,2592.59,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-03-01,2023,3,Maison,66.0,317000.0,4803.03,4,83200,Est (La Valette / La Garde)
2023-02-28,2023,2,Appartement,56.0,180000.0,3214.29,3,83200,Est (La Valette / La Garde)
2023-02-28,2023,2,Appartement,36.0,105000.0,2916.67,1,83000,Centre-ville
2023-03-01,2023,3,Appartement,39.0,120000.0,3076.92,1,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-28,2023,2,Appartement,80.0,301000.0,3762.5,4,83000,Centre-ville
2023-02-24,2023,2,Appartement,67.0,127000.0,1895.52,4,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-28,2023,2,Appartement,57.0,342000.0,6000.0,3,83200,Est (La Valette / La Garde)
2023-02-28,2023,2,Appartement,59.0,180600.0,3061.02,4,83200,Est (La Valette / La Garde)
2023-02-21,2023,2,Appartement,60.0,90000.0,1500.0,2,83000,Centre-ville
2023-03-01,2023,3,Appartement,66.0,142500.0,2159.09,4,83200,Est (La Valette / La Garde)
2023-02-23,2023,2,Appartement,90.0,315000.0,3500.0,3,83000,Centre-ville
2023-02-14,2023,2,Appartement,47.0,160505.0,3415.0,2,83200,Est (La Valette / La Garde)
2023-02-28,2023,2,Appartement,107.0,355450.0,3321.96,4,83000,Centre-ville
2023-03-02,2023,3,Appartement,70.0,120000.0,1714.29,3,83200,Est (La Valette / La Garde)
2023-02-16,2023,2,Appartement,39.0,134000.0,3435.9,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-21,2023,2,Appartement,58.0,135000.0,2327.59,3,83200,Est (La Valette / La Garde)
2023-03-01,2023,3,Appartement,77.0,80000.0,1038.96,4,83200,Est (La Valette / La Garde)
2023-03-01,2023,3,Appartement,77.0,80000.0,1038.96,4,83200,Est (La Valette / La Garde)
2023-02-10,2023,2,Appartement,80.0,166250.0,2078.12,4,83000,Centre-ville
2023-02-14,2023,2,Maison,94.0,285000.0,3031.91,4,83000,Centre-ville
