date,annee,mois,type_bien,surface,prix,prix_m2,pieces,code_postal,quartier,latitude,longitude
2023-03-02,2023,3,Appartement,56.0,129000.0,2303.57,3,83200,Est (La Valette / La Garde),43.1308,5.919351
2023-02-20,2023,2,Appartement,41.0,128980.0,3145.85,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.125408,5.958762
2023-03-03,2023,3,Appartement,42.0,125000.0,2976.19,2,83200,Est (La Valette / La Garde),43.149485,5.903042
2023-02-28,2023,2,Appartement,44.0,116000.0,2636.36,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.132673,5.980863
2023-03-06,2023,3,Appartement,74.0,134000.0,1810.81,3,83000,Centre-ville,43.126759,5.932209
2023-02-27,2023,2,Appartement,44.0,130000.0,2954.55,2,83200,Est (La Valette / La Garde),43.135293,5.916466
2023-02-08,2023,2,Maison,71.0,363000.0,5112.68,4,83000,Centre-ville,43.118049,5.950559
2023-03-02,2023,3,Maison,95.0,317600.0,3343.16,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.127669,5.968413
2023-02-27,2023,2,Appartement,26.0,98440.0,3786.15,1,83000,Centre-ville,43.118858,5.941445
2023-02-27,2023,2,Appartement,60.0,135000.0,2250.0,2,83000,Centre-ville,43.124599,5.928839
